Trave,,,,,,
x,M neg,M pos,T neg,T pos,N neg,N pos
,,,,,,
0,0,0,0,0,0,0
0,-32.14508755,0,57.93563702,0,-0.073215355,0.073216607
0.068634015,-28.25453792,0,55.43529984,0,-0.073215358,0.073216604
0.137268031,-24.5355971,0,52.93495516,0,-0.070227267,0.070228506
0.205902046,-20.98826373,0,50.43463067,0,-0.067239141,0.067240372
0.274536062,-17.61253659,0.625698518,47.93432416,0,-0.064250968,0.064252192
0.343170077,-14.40841461,3.032636554,45.43403351,0,-0.061262757,0.061263974
0.411804092,-11.37589686,5.267962462,42.93375668,0,-0.058274526,0.058275735
0.480438108,-8.514982551,7.331675454,40.43349173,0,-0.055286263,0.055287466
0.549072123,-5.825671038,9.223774877,37.93323679,0,-0.052297956,0.052299152
0.617706139,-3.307961793,10.94426021,35.43299012,0,-0.049309619,0.049310808
0.686340154,-0.961854416,12.49313104,32.93275001,0,-0.046321267,0.046322449
0.754974169,0,13.87038711,30.43251488,0,-0.043332889,0.043334063
0.823608185,0,15.07602826,27.93228324,0,-0.040344479,0.040345647
0.8922422,0,16.11005445,25.43205366,0,-0.037356048,0.037357208
0.960876216,0,16.97246578,22.93182483,0,-0.034367593,0.034368746
1.029510231,0,17.66326246,20.4315955,0,-0.031379117,0.031380264
1.098144246,0,18.18244488,17.93136453,0,-0.028390634,0.028391774
1.166778262,0,18.53001359,15.43113086,0,-0.025402137,0.025403269
1.235412277,0,18.70596938,12.93089351,0,-0.022413623,0.022414748
1.304046293,0,18.71031335,10.43065162,-1.187089525,-0.019425095,0.019426214
1.372680308,0,18.54304716,7.930404381,-3.687516648,-0.016436552,0.016437663
1.441314323,0,18.20417336,5.430151094,-6.187937723,-0.013447998,0.013449102
1.509948339,0,17.69369631,2.929891143,-8.688352134,-0.010459434,0.010460531
1.578582354,0,17.01162444,0.429624003,-11.18875936,-0.007470875,0.007471965
1.64721637,0,16.15797721,0,-13.68915895,-0.00448231,0.004483393
1.715850385,0,15.13281457,0,-16.18955057,-0.001493735,0.001494811
1.7844844,0,13.93646715,0,-18.68993395,-0.001493769,0.001494838
1.853118416,0,12.6745185,0,-21.19030893,-0.00448234,0.004483401
1.921752431,0,11.92521931,0,-23.69067542,-0.007470911,0.007471966
1.990386446,0,11.0104578,0,-26.19103342,-0.010459477,0.010460525
2.059020462,0,9.924357839,0,-28.69138304,-0.013448042,0.013449082
2.127654477,0,8.666723478,0,-31.19172446,-0.016436599,0.016437632
2.196288493,0,7.237511182,0,-33.69205794,-0.019425151,0.019426178
2.264922508,0,5.636705502,0,-36.19238387,-0.022413697,0.022414717
2.333556523,-1.81845398,3.8642994,0,-38.69270267,-0.025402227,0.025403239
2.402190539,-4.559874494,1.9202891,0,-41.1930149,-0.028390736,0.028391741
2.470824554,-7.472904893,0,0,-43.69332118,-0.031379236,0.031380234
2.53945857,-10.55754369,0,0,-46.19362224,-0.034367702,0.034368693
2.608092585,-13.81378985,0,0,-48.69391887,-0.03735616,0.037357144
2.6767266,-17.24164265,0,0,-51.19421197,-0.040344594,0.040345571
2.745360616,-20.84110158,0,0,-53.69450252,-0.04333301,0.043333979
2.813994631,-24.61216629,0,0,-56.19479161,-0.046321394,0.046322356
2.882628647,-28.55483659,0,0,-58.69508038,-0.049309756,0.049310712
2.951262662,-32.6691124,0,0,-61.1953701,-0.052298091,0.052299039
3.019896677,-36.95499377,0,0,-63.69566209,-0.055286403,0.055287345
3.088530693,-41.41248089,0,0,-66.19595779,-0.058274686,0.058275621
3.157164708,-46.04157404,0,0,-68.69625871,-0.061262922,0.06126385
3.225798724,-50.84227364,0,0,-71.19656646,-0.06425113,0.06425205
3.294432739,-55.81458024,0,0,-73.69688274,-0.067239305,0.067240218
3.363066754,-60.95849451,0,0,-76.19720931,-0.070227441,0.070228348
3.43170077,-66.27401725,0,0,-78.69754807,-0.073215539,0.073216438
3.43170077,-110.4602859,0,145.2709925,0,-0.10447164,0.10447164
3.529622393,-96.52320568,0,139.3868821,0,-0.10447164,0.10447164
3.627544015,-83.16230191,0,133.502825,0,-0.100208417,0.100208417
3.725465638,-70.37757209,0,127.6187934,0,-0.095945069,0.095945069
3.823387261,-58.16901407,0,121.7347838,0,-0.091681618,0.091681618
3.921308884,-46.53662605,0,115.8507928,0,-0.087418058,0.087418058
4.019230507,-35.48040653,0,109.966817,0,-0.083154392,0.083154392
4.11715213,-25.00035434,0,104.0828534,0,-0.078890647,0.078890647
4.215073752,-15.0964686,0,98.19889889,0,-0.074626796,0.074626796
4.312995375,-5.768748694,2.441272422,92.31495075,0,-0.070362865,0.070362865
4.410916998,0,10.67289729,86.4310063,0,-0.066098858,0.066098858
4.508838621,0,18.3283243,80.54706304,0,-0.061834759,0.061834759
4.606760244,0,25.4075536,74.66311864,0,-0.057570595,0.057570595
4.704681867,0,31.91058555,68.77917091,0,-0.053306362,0.053306362
4.802603489,0,37.83742074,62.89521784,0,-0.049042069,0.049042069
4.900525112,0,43.18805994,57.01125755,0,-0.044777737,0.044777737
4.998446735,0,47.96250415,51.12728836,0,-0.040513333,0.040513333
5.096368358,0,52.16075457,45.24330869,0,-0.036248901,0.036248901
5.194289981,0,55.78281262,39.35931718,0,-0.031984416,0.031984416
5.292211603,0,58.82868007,33.47531258,0,-0.027719904,0.027719904
5.390133226,0,61.29835915,27.59129382,0,-0.023455356,0.023455356
5.488054849,0,63.19185309,21.70726,0,-0.019190782,0.019190782
5.585976472,0,64.50916774,15.82321035,0,-0.014926185,0.014926185
5.683898095,0,65.25031857,9.939144278,0,-0.010661573,0.010661573
5.781819718,0,65.41539178,4.05506135,-1.257804006,-0.006396953,0.006396953
5.87974134,0,65.11689094,0,-7.141924571,-0.002132327,0.002132327
5.977662963,0,64.64890956,0,-13.02602788,-0.002132309,0.002132309
6.075584586,0,63.60545425,0,-18.91011396,-0.006396949,0.006396949
